SUNName,Scene,openAbilities,openRank,manmadeAbilities,manmadeRank,naturalAbilities,closedAbilities,closedRank,naturalRank
p_pasture_sun_aphjjmpfcgpkxrvq,pasture_4,4.336425464,7010,-4.919589639,713,2.525036439,-1.934356931,248,6909
i_islet_sun_aolfqitmqduntanq,islet_9,4.335254777,7009,-20.44317083,35,2.799956856,-16.65628739,18,6969
s_sandbar_sun_buvhtlxatpmfhrih,sandbar_15,4.290958076,7008,-4.50468384,917,2.013292033,-15.81794802,35,6679
v_valley_sun_bjhgdxgzxbxzuzex,valley_11,4.271425354,7007,-2.795589423,1775,1.408470523,-1.610134097,362,6102
m_mountain_sun_bkkdcwyxyyyfjzjb,mountain_snowy_75,4.226982609,7006,-5.053881514,645,1.197212205,-0.951113922,721,5831
m_mountain_sun_bdgqnzqsfferkcep,mountain_54,4.185138034,7005,-7.856912729,75,2.678530459,-1.062984675,650,6946
m_mountain_sun_brntzvzmajyjnony,mountain_106,4.184936719,7004,-6.838024074,158,0.48527166,-16.77191695,16,5001
b_badlands_sun_bxeawzssopcrvucx,badlands_123,4.150315156,7003,-19.96865095,45,1.400827134,-0.789627685,842,6090
i_islet_sun_ahxfdrgpduatrpbm,islet_4,4.148937547,7002,-4.05974632,1149,1.523281418,-2.975399186,80,6253
b_beach_sun_bxcxfqfclbedevty,beach_66,4.134700996,7001,-6.178355039,273,1.19047419,-2.007263299,229,5824
m_marsh_sun_bclyavfxatuiivun,marsh_33,4.12442005,7000,-4.644592739,849,1.402226757,-0.613795314,1009,6095
b_beach_sun_bjsoyyrneaaxgbdj,beach_31,4.114843103,6999,-6.543957409,207,2.371041169,-1.543654596,399,6856
s_sandbar_sun_cdwcnwcinhibzghh,sandbar_23,4.102538276,6998,-4.252600719,1044,1.941544888,-2.121541476,199,6637
l_lake_natural_sun_bgtczunxejylytly,lake_natural_25,4.101122977,6997,-5.451477178,472,1.4903614,-1.378589484,476,6212
m_mountain_sun_boorltwilsytcppq,mountain_94,4.098066651,6996,-5.003926297,671,3.338466212,-2.781735189,101,7015
s_sandbar_sun_blvywlrgsejoxaci,sandbar_13,4.093899682,6995,-2.91436521,1702,1.284789087,-0.597456601,1023,5947
m_mountain_sun_bcnkisrxmgcgdebk,mountain_51,4.082969879,6994,-5.230493039,565,2.473976978,-1.658697852,340,6892
d_desert_sand_sun_bcddtswwlttmmiux,desert_sand_7,4.061169455,6993,-4.382167917,974,1.331098692,-0.836412087,802,6000
d_driving_range_outdoor_sun_bmbbtroabdvhvlhf,driving_range_outdoor_1,4.053769743,6992,-4.02806332,1171,0.76441129,-2.719287045,106,5278
b_badlands_sun_bmoouvnnsnxypsla,badlands_75,4.051997096,6991,-2.628396831,1852,0.887155803,-2.222418869,182,5426
r_river_sun_axsqbefakvrsrvgb,river_36,4.03313549,6990,-2.484113403,1915,0.438161066,-16.47217091,21,4946
l_lake_natural_sun_bngxrounmwwgxpxl,lake_natural_52,4.018931492,6989,-6.786044499,167,1.037680125,-0.53146992,1081,5605
m_mountain_sun_bdwvvywnaluqdsod,mountain_snowy_56,3.989729616,6988,-4.117373556,1123,0.6788569,-2.224162778,181,5198
s_sandbar_sun_cefysiqtyrzmddko,sandbar_24,3.987629198,6987,-19.35481912,51,1.247924485,-2.78890436,99,5900
l_lake_natural_sun_blmyorsyedahlcfk,lake_natural_44,3.973946925,6986,-7.377115037,102,2.791023942,-16.42911409,22,6968
c_creek_sun_bdiwlljpmliivkyf,creek_19,3.968818294,6985,-5.802766591,375,1.773288411,-1.373635299,478,6491
b_beach_sun_bqumvimgijnyeeny,beach_51,3.964317302,6984,-3.784586759,1293,1.195573769,-1.403808442,467,5829
b_badlands_sun_bdvvtxlsrkxwgony,badlands_25,3.938794548,6983,-5.779923118,379,1.403626124,-0.503256154,1102,6096
f_fairway_sun_bglugkgphdqvgwfr,fairway_18,3.932294298,6982,-2.363386043,1981,0.52959432,-1.327031661,500,5050
s_snowfield_sun_bxpndmxxkgyapvdt,snowfield_26,3.928240108,6981,-5.912754811,344,-0.570407431,-17.51207404,8,4042
f_field_wild_sun_bnnxztlqjdywnfis,field_cultivated_30,3.89580733,6980,-3.937315656,1213,1.679321168,-2.481823313,139,6398
r_river_sun_ajoobseyhvpxglyc,river_15,3.874497989,6979,-3.436328235,1491,1.656475935,-0.096537074,1452,6381
m_marsh_sun_bqkpcjesqmpwviqr,marsh_38,3.853887858,6978,-5.147163308,602,1.340382045,-1.200448043,564,6013
f_field_wild_sun_breceimsuthxosld,field_wild_34,3.844259238,6977,-6.302950643,249,1.440290781,-2.031429151,222,6151
w_watering_hole_sun_bmxjmlvskmjmsmib,watering_hole_15,3.838458751,6976,-4.349600585,992,0.507590943,-16.79320511,15,5028
b_beach_sun_bxudibcwieqslwxd,beach_69,3.834045118,6975,-3.616740896,1385,1.451782966,-3.032612797,74,6165
s_sandbar_sun_cywmxjiricbiqhsc,sandbar_44,3.797817603,6974,-5.7256041,392,1.490779593,-29.04095027,4,6215
s_ski_slope_sun_byhdhgfbibzjstgp,ski_slope_31,3.796725931,6973,-4.661767287,832,0.490806178,-15.7123163,36,5013
b_beach_sun_bqhmttisknesivij,beach_50,3.785355904,6972,-3.521065943,1439,1.56768223,-2.486816918,137,6297
a_athletic_field_outdoor_sun_bcihxnpbgunynkzp,athletic_field_outdoor_3,3.761481285,6971,-3.551032737,1418,1.089862879,-1.412807128,462,5695
f_field_wild_sun_bpnmfkedgvicsxae,field_wild_32,3.756130976,6970,-5.9473431,337,2.068604379,-1.482839662,433,6709
p_pasture_sun_afifhsqpfnwmhywl,pasture_1,3.745775472,6969,-4.616140271,860,1.018137811,-1.04373872,659,5575
d_desert_sand_sun_bgljoorbdyvrmzct,desert_sand_10,3.744330448,6968,-5.191375023,582,1.69645707,-16.40062584,23,6415
m_mountain_sun_bzzahoaajbgfnhct,mountain_154,3.739324721,6967,-5.793121089,376,2.718887844,-2.046145316,218,6960
i_iceberg_sun_ahaoxwkqqmljrbfs,ice_floe_1,3.722159683,6966,-5.314609196,532,2.437751042,-0.705195267,919,6879
s_snowfield_sun_bxepmzmtdzhtzuqz,snowfield_25,3.698005066,6965,-4.769669576,786,1.868085711,-0.973276938,706,6569
f_fairway_sun_bkjlsoyvucbbutjo,fairway_38,3.696649584,6964,-3.643361529,1370,1.948323679,-2.698799693,109,6642
f_field_cultivated_sun_bwkxupbhrnksvpzy,field_wild_17,3.695061668,6963,-7.420572136,98,1.056011343,-1.112210408,623,5636
b_badlands_sun_bmtmxjtbapwpyiit,badlands_76,3.689827769,6962,-4.70411899,814,1.169883365,-0.540797796,1070,5796
s_sandbar_sun_bbifpzjtubhaqddg,sandbar_5,3.689746485,6961,-1.044196053,2593,1.080624208,-0.224024184,1348,5679
f_fairway_sun_bottaoasihbcshqd,fairway_47,3.683323878,6960,-3.997833298,1183,1.107059973,-15.42870183,39,5716
l_lake_natural_sun_bnvfgjkgdenrqzuv,lake_natural_53,3.676365883,6959,-3.686957216,1336,1.960373979,-1.493484457,427,6650
f_field_wild_sun_bjjncvakesxwkijm,field_wild_27,3.655765989,6958,-3.298489976,1540,2.783094378,-0.073384429,1471,6965
p_pasture_sun_biqitgocrhgdwzwc,pasture_66,3.654039617,6957,-4.57175743,883,1.912595172,-2.9990214,78,6610
m_mountain_sun_bljenxowqtmywmcz,mountain_snowy_79,3.653967763,6956,-4.5333475,903,1.581739249,-3.054075308,69,6306
f_fairway_sun_bgogtxredcrloriq,fairway_20,3.651519261,6955,-3.826199845,1270,0.414697898,-2.128593133,196,4908
m_mountain_sun_bgibqzzsihgolcxc,mountain_65,3.649501935,6954,-3.975609476,1194,1.704048536,-0.62825416,994,6421
b_badlands_sun_bljyguxxfiakvvcz,badlands_67,3.647015996,6953,-2.950477483,1680,0.705598031,-1.684498547,323,5233
b_badlands_sun_bdjvsohpkeaxwwtp,badlands_21,3.644430464,6952,-21.61218206,14,1.232797885,-0.781670147,850,5886
b_badlands_sun_bfouonyltkukjxbm,badlands_35,3.642205487,6951,-6.173237473,278,2.696216668,-0.948147594,726,6952
b_beach_sun_biubktjlezkgvzkm,beach_28,3.623480253,6950,-4.921013525,710,0.628755719,-0.402905121,1199,5151
g_golf_course_sun_akotwuaxwarzwvii,golf_course_40,3.622632132,6949,-4.413673902,957,1.439495874,-0.9566791,716,6150
m_mountain_sun_befpdnkgwfpjctfb,mountain_58,3.610175243,6948,-5.957475545,330,2.516886276,-0.570730436,1041,6904
s_snowfield_sun_bugxcpcrythhvlob,snowfield_23,3.602389985,6947,-6.834651575,160,1.341385542,-2.038755401,220,6015
s_ski_slope_sun_bbydqqmextyertfa,ski_slope_4,3.594909027,6946,-3.789401179,1289,1.764116728,-0.019054547,1526,6481
g_golf_course_sun_alshfwudkoqnqype,golf_course_46,3.593923617,6945,-3.371329071,1514,1.063148491,-1.607284552,365,5645
b_beach_sun_bfncngpmslfxssqc,beach_21,3.583514763,6944,-3.878515427,1244,2.504771729,-2.441649147,145,6900
f_fairway_sun_bbkmwflemuwzzrlp,fairway_2,3.577275177,6943,-3.763803941,1306,0.846353421,-2.989416816,79,5377
f_field_wild_sun_biwxctcpdxfsnaoz,field_cultivated_27,3.575322309,6942,-3.976856919,1193,1.484141217,-2.180669027,189,6202
b_beach_sun_bmmujjseegzcwkgu,beach_38,3.57326942,6941,-4.661643018,833,1.532134529,-1.056151774,654,6263
c_canal_natural_sun_bzijtppkkyfdmtyg,canal_natural_30,3.561994909,6940,-3.067895523,1633,0.033106674,-1.773855234,298,4548
l_lake_natural_sun_blbuaicgjcyjzdbn,lake_natural_42,3.552689465,6939,-5.027475496,656,2.106092626,-1.161974649,587,6729
i_ice_floe_sun_bbcmpqsvnzkkrlhf,ice_shelf_5,3.545042166,6938,-7.491566648,93,2.011031615,-2.000769332,230,6676
l_lake_natural_sun_bqahzuzdkajctzbs,lake_natural_66,3.54123585,6937,-2.701989283,1822,0.772414828,-0.517998716,1093,5288
i_ice_floe_sun_bocjadfuqedouctr,ice_floe_10,3.539356081,6936,-5.363975777,508,0.960646589,-1.108089992,624,5498
s_sandbar_sun_cbcnkbvhgvwxpmgd,sandbar_20,3.53283182,6935,-3.758218835,1313,0.66122506,-16.6219777,19,5184
b_badlands_sun_bcyknmhtbnevtdwh,badlands_17,3.526902484,6934,-4.559651219,891,1.865189712,-3.461606314,53,6568
v_valley_sun_bckeicubqzttcsrs,valley_5,3.519955133,6933,-5.978265734,326,0.756707004,-0.343180421,1241,5269
f_field_cultivated_sun_bblxdcshfckqrxys,field_cultivated_3,3.512573667,6932,-3.880287229,1243,1.583506452,-1.948374958,244,6311
b_beach_sun_bvcxnxfsrravibcp,beach_63,3.508345291,6931,-4.658785864,838,2.661286591,-16.1780114,29,6943
i_ice_shelf_sun_bufgfaiaiuhgnbxo,ice_floe_25,3.50591287,6930,-5.886691368,353,0.236834595,-3.270808199,60,4734
w_wheat_field_sun_apizizwdokdcsceh,wheat_field_29,3.495279259,6929,-3.070121405,1632,1.203428679,-2.629059397,116,5841
l_lake_natural_sun_bavkoqnvosjbemny,lake_natural_10,3.491130861,6928,-4.477490892,929,1.071970947,-1.667861167,334,5663
b_badlands_sun_bnfhhcjskgobcjyc,badlands_80,3.477745878,6927,-4.882316193,728,1.327634173,-0.764083472,863,5996
o_ocean_sun_ajtytnbaqzqaxjui,ocean_5,3.474259066,6926,-3.275964024,1554,0.984925533,-3.044272347,71,5535
l_lake_natural_sun_bhjqunclqxwlqsjo,lake_natural_27,3.469806111,6925,-4.792648269,775,1.97439085,-0.947907645,727,6660
i_islet_sun_akwiywaquuwvcixm,islet_6,3.450113557,6924,-4.139376015,1105,1.868580733,-2.183111097,188,6570
g_golf_course_sun_bmgzyynzpgkgixku,golf_course_115,3.446205205,6923,-3.436817753,1490,1.674469441,-1.148390432,594,6395
g_golf_course_sun_btkniigzroksrwkq,golf_course_118,3.429974764,6922,-4.892891099,722,0.527923702,-2.494936997,136,5046
i_ice_shelf_sun_bmwyeacknnhuwroe,ice_floe_22,3.426645826,6921,-5.585042857,432,1.661678959,-1.705147485,320,6385
f_field_cultivated_sun_bosjkefdgxqnvago,field_wild_13,3.421615988,6920,-4.21148568,1067,1.389327375,-1.53717513,404,6077
s_sandbar_sun_baqhalpndqfclyti,sandbar_2,3.420972841,6919,-5.323663334,527,1.539420643,-2.145708484,194,6269
b_beach_sun_bfvlsnrxmuehhmzb,beach_22,3.419967829,6918,-3.091855879,1627,1.170969059,-2.519395135,132,5799
o_ocean_sun_aaxpyxtvdcroofxz,ocean_1,3.419100406,6917,-20.07702933,44,1.741825375,-1.480530595,434,6455
l_lake_natural_sun_bpvhtluixhpoxgpc,lake_natural_64,3.415669195,6916,-5.077130162,632,1.404478383,-1.615104903,361,6098
b_badlands_sun_bkmkwxrjwecdivrg,badlands_61,3.39749707,6915,-4.479554231,927,1.385405452,-2.630560091,115,6069
p_pasture_sun_ayzlrvofznaqpjss,pasture_5,3.381103726,6914,-3.799520551,1284,1.04590659,-2.905304339,86,5613
h_hayfield_sun_belzfptetenbobfm,hayfield_7,3.378387974,6913,-3.51070275,1448,0.703024383,0.026774577,1563,5230
m_marsh_sun_bucpsfhkambseqct,marsh_41,3.375081014,6912,-4.663675342,831,1.049936116,-1.514500099,415,5622
g_golf_course_sun_aazgrbgqbjsxqipu,golf_course_3,3.369992794,6911,-4.046203525,1151,1.747265557,-1.023585369,674,6463
b_badlands_sun_bqezafmogzlbsghg,badlands_97,3.364962081,6910,-4.864219412,738,1.939289472,-0.858062285,783,6631
d_desert_vegetation_sun_bgtcjxmkreqkofmr,desert_sand_26,3.361380167,6909,-5.069098595,638,0.890553919,-1.448343259,445,5431
f_fairway_sun_bxbmrnrlmwuzaodf,fairway_75,3.348737433,6908,-3.352795639,1521,1.046584016,-2.788621367,100,5615
f_field_wild_sun_bgnzdajqkeganqeb,field_wild_24,3.334611691,6907,-4.588331944,875,2.080090451,-0.994983643,693,6713
g_golf_course_sun_aslcynxujkgukmvx,golf_course_73,3.331620699,6906,-4.358622211,987,3.250159161,-0.047176238,1502,7009
v_viaduct_sun_beupxbkbavhfarej,viaduct_14,3.31899707,6905,-0.792984539,2728,0.955852594,-0.111483988,1439,5488
s_sandbar_sun_crrjrgikwhziuoum,sandbar_40,3.318456624,6904,-3.876945911,1246,0.774469084,-0.365792403,1221,5292
m_mountain_snowy_sun_bexppgiidlxnryae,mountain_5,3.315664551,6903,-6.783068083,169,1.902953509,-3.347943235,58,6603
r_river_sun_ancumhrpassksmnc,river_24,3.302860515,6902,-4.590842185,873,0.784762513,-0.863022812,777,5299
r_river_sun_agyxcqzvtlbyhbel,river_8,3.302300375,6901,-1.054778956,2585,0.503618298,-0.898121434,756,5023
f_fairway_sun_bhnfkrnjalaprrmo,fairway_24,3.299511129,6900,-3.25899492,1562,0.524283254,-0.807019967,821,5042
b_badlands_sun_bncsjcyfawreexcb,badlands_78,3.298419865,6899,-5.529995425,452,1.967923463,-0.657777009,959,6656
v_vineyard_sun_bpjaugthurqqesou,vineyard_53,3.288525912,6898,-2.194234268,2067,0.474298974,0.104820116,1638,4990
f_field_cultivated_sun_bewobgtsvbuobuce,field_wild_4,3.283502363,6897,-2.210026533,2054,-0.03024112,-3.236006576,61,4475
i_ice_floe_sun_brmyvesnjocwrgkm,ice_shelf_12,3.279093587,6896,-6.865394398,154,2.367249583,-0.686458023,937,6855
g_golf_course_sun_acoxbobhnhxypste,golf_course_13,3.272680567,6895,-3.44313624,1483,0.77249365,-0.716706159,905,5289
b_beach_sun_bqywtkjiftykwdth,beach_52,3.272179671,6894,-4.145258996,1103,1.192403355,-1.789726655,291,5827
m_marsh_sun_ayxnecxtidlorohr,marsh_29,3.271783364,6893,-5.045739768,648,1.537797897,-1.711587786,315,6268
b_beach_sun_bneroebdzopnizrc,beach_41,3.270112184,6892,-5.132586673,612,1.093930778,-2.064716856,212,5700
v_viaduct_sun_bcjovwmamrfxqurm,viaduct_6,3.269124549,6891,-1.080678648,2578,0.249659704,0.49025296,1955,4753
g_golf_course_sun_aizixeflqvctuvxu,golf_course_32,3.268835176,6890,-5.32012742,529,1.568155161,-0.323686794,1259,6298
g_golf_course_sun_aydvvhfwqxgdymsc,golf_course_89,3.267509819,6889,-2.953357754,1677,0.616542055,0.153506006,1679,5141
m_mountain_sun_bfknrrxqrtpmrwuj,mountain_62,3.266111774,6888,-5.216448152,571,3.178082001,-2.967216938,82,7008
h_highway_sun_bfotjzzlosvcgfpx,highway_82,3.261780188,6887,-0.891728914,2658,0.440545807,0.078192527,1615,4949
o_ocean_sun_bkazkjiovinsdaqt,ocean_11,3.260549499,6886,-5.724246667,393,1.031299625,-1.986109079,233,5596
b_butte_sun_absvsnntqbbirlar,butte_4,3.254159538,6885,-19.81700081,48,0.231623992,-0.411142294,1190,4729
w_wheat_field_sun_aomdmkkpcjmaghul,wheat_field_27,3.252185162,6884,-5.432489587,482,1.498552656,-2.722670624,105,6227
s_sandbar_sun_ckthvykmircbaxwt,sandbar_31,3.246811478,6883,-4.516630887,911,1.812462231,-2.186918882,187,6521
p_pasture_sun_beksvsjmlyhrdlhl,pasture_36,3.246084664,6882,-4.720434484,805,2.107122396,-16.91415098,13,6730
h_highway_sun_bxhcyphbzhssgcpq,highway_228,3.244489662,6881,-0.834114812,2705,-0.598082473,-1.497962189,424,4012
b_badlands_sun_bfacqjwmeipxtsdu,badlands_32,3.240311232,6880,-7.033303925,137,2.923032215,0.115257257,1651,6985
m_marsh_sun_azakdgfhdkslcchh,marsh_30,3.239165407,6879,-4.293116561,1022,2.222060833,-1.538968169,403,6791
t_tree_house_sun_brrulzkdcicdbdll,tree_farm_18,3.234451445,6878,-3.403390236,1502,2.457999445,-1.49077919,428,6887
b_bayou_sun_akefnwicklzhvrfc,bayou_13,3.231487165,6877,-2.575043745,1871,0.812402988,-2.523663958,131,5334
s_sandbar_sun_byrbhmeqhwbuqrkj,sandbar_16,3.229803251,6876,-3.94071646,1212,1.665947486,-1.147204068,596,6387
b_beach_sun_bximcwpsgojycdnj,beach_67,3.226582947,6875,-4.292999988,1023,1.267120707,-1.414480134,461,5920
p_pasture_sun_bnzmlypzeuthajoi,pasture_100,3.223088161,6874,-3.23843565,1573,1.100703377,-1.722179711,313,5707
v_vineyard_sun_bbxinvtesorkafwr,vineyard_6,3.219898651,6873,-1.902657646,2186,-0.217350132,-0.656543021,962,4331
m_marsh_sun_avjqkwzfankjsqgv,marsh_25,3.21771433,6872,-3.587980426,1403,1.115725921,-3.05341373,70,5728
f_fairway_sun_bgndttqgncrqjjdp,fairway_19,3.206194283,6871,-5.13661775,609,1.201690164,-0.669311735,947,5838
m_mountain_snowy_sun_bwkcgijmgbmgdazi,mountain_snowy_33,3.204499298,6870,-4.215930815,1062,1.16855063,-0.592110929,1029,5792
f_field_cultivated_sun_bxyndviipkeqassc,field_wild_18,3.204237771,6869,-6.165480137,280,1.582235065,-3.043662861,72,6307
f_fairway_sun_bjokckrpcatuhaqo,fairway_34,3.200638185,6868,-2.516546821,1897,0.781833096,-0.154499412,1402,5297
i_islet_sun_afezricptqyijjur,islet_3,3.19779248,6867,-5.230053363,566,1.527238903,-1.219058319,555,6259
f_forest_broadleaf_sun_bfizxofsjflnvdga,forest_road_2,3.195978839,6866,-2.61353651,1858,0.242819429,0.069299794,1604,4742
o_orchard_sun_aalgazelhtohvsjh,orchard_3,3.195697246,6865,-2.547623046,1882,1.058833374,-1.299245882,513,5640
d_desert_sand_sun_bbqacusxjthihjvd,desert_vegetation_6,3.195324286,6864,-4.323990924,1003,0.570969955,-1.451768717,441,5097
h_highway_sun_bhsjchubacapfjtk,highway_97,3.189688608,6863,-0.341773294,3078,-0.688832366,-0.712290714,913,3939
b_badlands_sun_bvcfurmxkryhsteo,badlands_112,3.188928169,6862,-5.913221569,343,1.619641059,-0.817750665,813,6350
g_golf_course_sun_alcrgfmnthjmdeew,golf_course_43,3.18827964,6861,-2.016554595,2143,0.156113209,-0.635841559,978,4656
d_desert_sand_sun_bcmhdbzhuexunnaq,desert_vegetation_7,3.18293205,6860,-3.674773372,1346,1.680639654,0.588673269,2036,6399
b_beach_sun_acrgzrfovvtjhgdp,beach_1,3.180715617,6859,-2.628815498,1851,0.930885291,-1.292007021,519,5457
f_fairway_sun_bdqdtdtzyjgjyhaa,fairway_11,3.176386571,6858,-3.32533687,1533,1.781887903,-0.761125448,866,6500
m_mountain_sun_bqogrroaqmlmjevw,mountain_102,3.171094073,6857,-6.263624634,254,2.972451468,-0.420196038,1180,6990
w_waterfall_plunge_sun_bcmfobsmkvxhgyqj,waterfall_plunge_8,3.16645961,6856,-3.599449616,1396,1.854088266,-1.449022239,444,6559
l_lake_natural_sun_bvbguexdhmskbhim,lake_natural_82,3.161868432,6855,-6.211140616,265,1.158789022,-0.183539733,1379,5782
w_wheat_field_sun_amecvgjatobarjnp,wheat_field_19,3.159562489,6854,-1.813229819,2240,-0.683121204,-0.042754252,1508,3949
b_badlands_sun_bcgckqygipshenhl,badlands_13,3.158317137,6853,-6.940913391,144,1.957853457,-0.823712658,809,6649
h_highway_sun_bqecpcidatoqmgiw,highway_169,3.155199913,6852,-1.182862075,2515,0.468282706,-2.413834711,151,4982
f_fairway_sun_btaynhowjmznvpeo,fairway_62,3.154725847,6851,-2.776504873,1788,1.515678273,-1.401231352,469,6244
d_desert_vegetation_sun_aieudxgcttaxlaec,desert_vegetation_21,3.139849208,6850,-4.800065453,769,1.655453337,-1.478666349,436,6379
h_highway_sun_bkgwnjebvsccilhm,highway_114,3.136304774,6849,0.311614029,3838,-1.915672096,0.314091605,1809,2980
p_pasture_sun_bzwazpmrsgypcnlx,pasture_152,3.131180004,6848,-4.322724974,1005,0.52347848,-1.411865812,463,5039
f_fairway_sun_bigebsudctfnnlce,fairway_26,3.131018537,6847,-4.281381126,1030,1.555602673,-1.587387787,378,6284
i_islet_sun_aesvdyvjecigwmlj,islet_2,3.127507362,6846,-4.161763306,1094,2.944357961,-1.137655667,611,6989
m_mountain_snowy_sun_bkjvwjmoobajmlas,mountain_snowy_13,3.126425076,6845,-6.861095535,155,2.390085859,-0.173180791,1390,6861
m_marsh_sun_aumemlsjhuilavmc,marsh_22,3.113199234,6844,-4.457673005,937,1.973978163,-1.994987364,231,6659
m_mountain_snowy_sun_bhmcdhfeejazwnqe,mountain_8,3.111070123,6843,-4.316095813,1007,2.860161365,-1.820933306,277,6977
t_tree_house_sun_bjvzbpnxrwwnflpq,tree_farm_16,3.101454086,6842,-4.123320027,1118,1.227528813,0.076994885,1613,5874
r_river_sun_ahlfvgvuqhwgebhh,river_10,3.098417892,6841,-20.6030578,28,2.628078509,-0.892699904,759,6936
m_mountain_sun_bzffsybsbqvkmhbz,mountain_151,3.097271513,6840,-6.007797456,317,2.20858518,-2.344000251,162,6786
b_beach_sun_bkdddxehmviuowyj,beach_32,3.097044687,6839,-4.523950019,909,1.05164491,-0.964544908,710,5626
m_mountain_sun_bsdpiyjgheofocum,mountain_109,3.095171732,6838,-4.033448349,1163,3.159827835,-2.590187915,122,7005
f_field_cultivated_sun_bgxjfngkckfyolru,field_cultivated_7,3.09477797,6837,-2.797670122,1774,0.106177095,-2.479904226,140,4614
f_fairway_sun_bxddwhstcqybvhxn,fairway_76,3.09449815,6836,-3.405427982,1500,0.033392466,-16.31434974,27,4549
f_field_cultivated_sun_baqhxkyfdhnhjhnf,field_wild_2,3.092613804,6835,-6.370567455,235,0.378443622,-2.793837921,98,4870
f_fairway_sun_bjjebhlxtvnhfwjt,fairway_33,3.092546856,6834,-6.431587624,227,1.107560373,-0.4612997,1139,5717
f_field_cultivated_sun_biwxsrfklrfwhozj,field_cultivated_9,3.08839507,6833,-2.703239938,1820,1.70602538,-2.432746988,147,6422
w_wheat_field_sun_ahheiyfyhetdwltt,wheat_field_14,3.087284974,6832,-4.132778251,1111,1.825820631,-1.813716911,282,6532
m_mountain_snowy_sun_bxeyppeyxrbkqdmu,mountain_35,3.082366046,6831,-3.664142205,1352,1.582777541,-1.879255951,259,6309
s_sandbar_sun_casqbgehubregwcd,sandbar_18,3.08213751,6830,-3.892793603,1240,0.748396484,-2.38247238,154,5265
b_badlands_sun_bwsygytrfvlkmhpz,badlands_121,3.076162226,6829,-2.909219768,1706,0.226150538,-0.52505169,1086,4722
