leftlist,rightlist,responselist,Subject
bedroom_263,assembly_line_5,1,1
airport_terminal_10,playground_8,1,1
cottage_garden_27,pasture_90,0,1
dining_room_102,general_store_outdoor_19,0,1
attic_45,fairway_33,1,1
highway_18,library_indoor_27,0,1
highway_158,park_14,1,1
bathroom_41,bathroom_60,1,1
apartment_building_outdoor_76,pavilion_15,1,1
dinette_vehicle_51,badlands_10,1,1
mountain_86,bayou_24,0,1
hotel_room_6,forest_broadleaf_21,1,1
forest_needleleaf_12,dining_room_123,0,1
hill_9,bedroom_270,0,1
poolroom_home_58,living_room_177,0,1
forest_road_28,bedroom_90,0,1
mountain_snowy_79,bedroom_283,0,1
biology_laboratory_8,islet_10,1,1
valley_4,waterfall_block_2,1,1
playground_130,bedroom_343,0,1
apartment_building_outdoor_3,viaduct_33,1,1
islet_1,lecture_room_7,0,1
kitchen_9,cottage_garden_60,1,1
kitchen_194,vineyard_31,1,1
canal_urban_34,ice_shelf_6,1,1
attic_76,parlor_35,1,1
bedroom_90,attic_6,1,1
general_store_outdoor_42,kitchen_140,1,1
cabin_outdoor_63,beach_1,1,1
bathroom_2,lobby_32,1,1
playground_69,kasbah_15,1,1
boardwalk_5,bedroom_83,0,1
orchard_33,badlands_109,1,1
pavilion_14,mountain_15,1,1
golf_course_17,gift_shop_32,0,1
underwater_coral_reef_34,bedroom_4,0,1
moat_water_9,mansion_67,0,1
kitchen_125,dining_room_2,0,1
alley_8,playground_85,1,1
waiting_room_79,ski_slope_1,1,1
kasbah_13,apartment_building_outdoor_28,1,1
dining_room_58,office_building_11,1,1
forest_broadleaf_15,dining_room_102,0,1
badlands_86,bedroom_346,0,1
dining_room_225,wheat_field_42,1,1
courtroom_10,picnic_area_24,1,1
planetarium_outdoor_2,bedroom_128,0,1
bathroom_22,living_room_280,1,1
fairway_14,badlands_107,1,1
creek_12,golf_course_122,0,1
galley_18,mountain_38,1,1
playground_120,dining_room_64,0,1
playground_123,forest_needleleaf_8,1,1
canal_urban_26,aqueduct_65,0,1
dining_room_100,playground_53,1,1
library_indoor_43,cottage_garden_21,1,1
butte_23,veranda_14,0,1
forest_road_18,boardwalk_24,0,1
mountain_snowy_69,creek_75,0,1
forest_path_15,fairway_13,1,1
youth_hostel_11,fairway_81,1,1
highway_101,highway_33,0,1
manufactured_home_73,pond_19,1,1
highway_164,cubicle_office_1,1,1
canal_natural_54,desert_vegetation_15,1,1
cottage_garden_14,tree_farm_23,1,1
bedroom_262,cubicle_office_35,1,1
bedroom_130,boardwalk_34,1,1
boardwalk_14,restaurant_31,1,1
canal_natural_32,lecture_room_5,0,1
waiting_room_46,recreation_room_5,1,1
nursery_12,youth_hostel_5,1,1
forest_broadleaf_16,dining_room_101,0,1
bathroom_51,botanical_garden_16,1,1
poolroom_home_44,canal_natural_43,1,1
fairway_49,playground_90,0,1
sandbar_40,mountain_snowy_16,0,1
river_26,beach_23,1,1
attic_18,hotel_room_46,1,1
yard_22,canal_natural_38,1,1
highway_46,moat_water_31,1,1
recreation_room_11,botanical_garden_14,1,1
lake_natural_60,kitchen_65,0,1
pasture_49,general_store_outdoor_43,0,1
dining_room_50,canal_urban_31,1,1
highway_199,orchard_26,1,1
highway_86,mountain_46,0,1
highway_170,pasture_48,1,1
cabin_outdoor_7,mansion_4,0,1
fairway_78,fairway_46,0,1
forest_broadleaf_9,utility_room_4,0,1
bathroom_118,badlands_98,1,1
bedroom_59,mansion_38,1,1
patio_3,waiting_room_27,1,1
parking_lot_45,playroom_2,0,1
highway_160,bedroom_260,0,1
yard_21,wet_bar_8,0,1
pasture_81,parlor_26,0,1
rainforest_9,bathroom_66,0,1
bedroom_283,swamp_3,1,1
youth_hostel_8,pasture_108,1,1
art_studio_13,badlands_31,1,1
dining_room_11,forest_needleleaf_14,1,1
bedroom_52,courtroom_3,1,1
bedroom_276,highway_111,1,1
abbey_6,fairway_14,1,1
orchard_78,fairway_4,1,1
canal_urban_77,snowfield_10,1,1
dining_room_150,kitchen_78,1,1
tree_house_7,general_store_indoor_15,0,1
cafeteria_7,mountain_133,1,1
fairway_85,parking_lot_6,1,1
mountain_62,aqueduct_70,0,1
kitchen_234,wet_bar_22,0,1
barn_16,driveway_49,0,1
lake_natural_76,attic_84,0,1
dinette_home_38,swimming_pool_outdoor_62,0,1
pavilion_23,creek_34,1,1
canal_urban_28,golf_course_70,1,1
bedroom_45,bedroom_1,1,1
kitchen_200,attic_75,1,1
general_store_indoor_12,kitchen_58,1,1
balcony_interior_6,mansion_48,0,1
waterfall_block_9,driveway_4,0,1
mountain_122,kitchen_41,0,1
mansion_58,parking_lot_26,1,1
corridor_18,wheat_field_38,1,1
playroom_10,manufactured_home_18,1,1
dining_room_105,bathroom_1,0,1
orchard_78,manufactured_home_2,1,1
beach_3,sandbar_34,0,1
hotel_room_1,home_office_52,0,1
dining_room_107,forest_broadleaf_9,1,1
golf_course_52,dinette_vehicle_30,0,1
cottage_garden_22,palace_7,0,1
bedroom_361,cabin_outdoor_17,1,1
pasture_12,sandbar_22,1,1
manufactured_home_49,waterfall_block_3,1,1
kitchen_149,parking_lot_48,1,1
mountain_85,bedroom_11,0,1
mountain_48,yard_2,0,1
kitchen_5,hotel_room_70,1,1
orchard_7,highway_80,0,1
aqueduct_63,highway_152,1,1
golf_course_107,auditorium_4,0,1
bedroom_259,cubicle_office_23,0,1
dining_room_115,highway_10,1,1
parking_garage_indoor_2,fairway_65,1,1
creek_59,library_indoor_41,0,1
playground_127,manufactured_home_63,0,1
galley_39,patio_32,1,1
living_room_210,underwater_coral_reef_41,1,1
underwater_coral_reef_11,living_room_80,0,1
restaurant_patio_11,dining_room_99,1,1
golf_course_33,vegetable_garden_42,0,1
playroom_2,pasture_45,1,1
barn_28,marsh_16,1,1
balcony_interior_9,badlands_17,1,1
parking_lot_66,sandbar_23,1,1
manufactured_home_3,gift_shop_8,0,1
beach_60,hotel_room_115,0,1
sandbar_35,living_room_157,0,1
dining_room_115,forest_broadleaf_14,1,1
general_store_outdoor_41,bedroom_97,0,1
kitchen_164,dinette_home_17,1,1
canal_urban_75,poolroom_home_24,0,1
apartment_building_outdoor_19,motel_2,1,1
badlands_89,beach_30,1,1
home_office_54,lobby_11,1,1
office_building_17,forest_path_45,1,1
parlor_14,living_room_264,1,1
bedroom_302,kasbah_12,1,1
golf_course_25,mountain_120,1,1
kasbah_16,residential_neighborhood_9,1,1
snowfield_26,bedroom_254,0,1
abbey_13,library_indoor_44,0,1
dinette_vehicle_73,poolroom_home_47,0,1
fairway_71,field_cultivated_4,1,1
attic_8,orchard_51,1,1
pasture_150,galley_24,0,1
dining_car_8,poolroom_home_52,0,1
apartment_building_outdoor_19,parking_lot_20,0,1
forest_broadleaf_18,bedroom_347,0,1
manufactured_home_40,living_room_205,0,1
dinette_home_7,beach_71,1,1
parking_lot_69,beach_6,1,1
bayou_31,bedroom_304,0,1
poolroom_home_4,dining_car_8,0,1
mountain_5,wheat_field_17,0,1
living_room_65,living_room_83,0,1
barn_13,cottage_garden_60,0,1
playroom_33,river_22,1,1
dining_room_100,forest_broadleaf_4,1,1
highway_117,harbor_1,0,1
underwater_coral_reef_6,bedroom_52,0,1
living_room_10,bedroom_13,0,1
river_20,tree_farm_12,1,1
dining_room_4,bedroom_75,1,1
canal_natural_6,bedroom_92,0,1
ice_floe_16,lake_natural_2,1,1
ice_floe_1,highway_73,0,1
kitchen_136,corridor_28,0,1
bedroom_70,boardwalk_22,1,1
field_wild_29,underwater_coral_reef_21,0,1
canal_urban_34,cottage_garden_19,0,1
living_room_235,hotel_room_104,0,1
kitchen_64,pasture_75,1,1
railroad_track_4,restaurant_30,0,1
highway_66,cafeteria_15,0,1
poolroom_home_38,highway_22,1,1
berth_1,living_room_35,0,1
wet_bar_2,canal_natural_58,1,1
lecture_room_23,canal_urban_66,1,1
field_cultivated_38,forest_path_48,1,1
mountain_snowy_5,parking_lot_15,0,1
kitchen_155,highway_18,1,1
botanical_garden_13,beach_51,1,1
living_room_293,art_gallery_4,1,1
bedroom_293,manufactured_home_78,1,1
field_cultivated_10,mansion_48,0,1
vegetable_garden_14,ice_floe_25,1,1
nursery_9,nursery_18,1,1
dining_room_111,forest_broadleaf_17,1,1
bayou_16,pasture_141,1,1
highway_58,aqueduct_41,1,1
waiting_room_51,banquet_hall_9,1,1
corridor_27,gift_shop_22,1,1
kitchen_129,home_office_39,1,1
mountain_133,yard_19,0,1
orchard_17,field_wild_23,0,1
forest_broadleaf_1,beach_35,1,1
parking_lot_60,dining_room_119,0,1
bedroom_341,bedroom_65,1,1
desert_sand_35,lake_natural_29,0,1
balcony_interior_24,desert_sand_37,1,1
golf_course_15,bayou_22,1,1
waiting_room_65,office_building_8,1,1
creek_15,lobby_6,0,1
office_building_10,beach_73,1,1
bedroom_191,dining_room_25,1,1
dinette_vehicle_9,attic_82,0,1
corridor_14,badlands_29,1,1
pond_50,biology_laboratory_9,0,1
living_room_303,ski_slope_31,1,1
golf_course_64,airport_terminal_2,0,1
gift_shop_15,wheat_field_13,1,1
dining_room_216,pasture_45,1,1
bedroom_207,canal_natural_38,1,1
bedroom_116,manufactured_home_56,1,1
hotel_room_17,highway_137,1,1
dining_room_62,islet_11,1,1
forest_road_6,bayou_5,1,1
forest_broadleaf_2,dining_room_125,0,1
vegetable_garden_21,vineyard_38,1,1
kasbah_3,parking_lot_6,1,1
highway_35,swimming_pool_outdoor_17,1,1
highway_28,waiting_room_9,0,1
kitchen_76,kitchen_152,0,1
art_gallery_7,beach_7,1,1
highway_207,desert_sand_22,1,1
bedroom_380,kitchen_6,0,1
desert_sand_26,general_store_outdoor_34,0,1
kitchen_224,hotel_room_94,1,1
canal_natural_46,boardwalk_25,0,1
tree_farm_22,airport_terminal_1,0,1
aqueduct_53,creek_30,1,1
orchard_25,bedroom_316,0,1
kitchen_174,gift_shop_16,0,1
sandbar_1,dining_room_167,0,1
vegetable_garden_38,bathroom_49,0,1
cabin_outdoor_76,orchard_59,1,1
barn_43,parlor_7,0,1
playground_73,creek_8,1,1
beach_54,biology_laboratory_5,0,1
parking_garage_outdoor_1,library_indoor_32,0,1
forest_path_20,attic_44,0,1
desert_sand_10,bedroom_43,0,1
hotel_room_7,driveway_21,1,1
rainforest_13,berth_8,0,1
golf_course_33,forest_needleleaf_2,1,1
apartment_building_outdoor_12,forest_road_20,1,1
reception_6,cafeteria_15,1,1
dining_room_112,forest_needleleaf_15,1,1
hotel_room_51,butte_11,1,1
wheat_field_36,bedroom_282,0,1
kitchen_36,living_room_285,0,1
ski_slope_21,highway_69,0,1
kitchen_202,kasbah_17,1,1
dinette_vehicle_29,golf_course_5,1,1
pasture_139,beauty_salon_32,0,1
apartment_building_outdoor_20,restaurant_16,0,1
living_room_261,office_13,0,1
harbor_9,dining_room_52,0,1
forest_path_42,kasbah_35,1,1
bedroom_41,vineyard_44,1,1
forest_path_54,mountain_snowy_55,1,1
vineyard_45,bedroom_137,0,1
kitchen_119,barn_36,1,1
field_wild_10,pasture_110,0,1
field_cultivated_37,kitchen_159,0,1
viaduct_47,snowfield_20,1,1
forest_road_30,parking_lot_31,0,1
field_cultivated_6,mansion_59,0,1
underwater_coral_reef_35,ski_lodge_4,0,1
mountain_snowy_22,kasbah_19,0,1
badlands_94,fairway_39,0,1
viaduct_34,home_office_52,0,1
waiting_room_68,hotel_room_67,1,1
bathroom_51,youth_hostel_3,1,1
mountain_snowy_58,highway_40,0,1
balcony_interior_22,dining_room_163,0,1
attic_34,dining_room_69,0,1
forest_broadleaf_3,dining_room_106,0,1
swimming_pool_outdoor_47,dining_room_176,0,1
lobby_20,nursery_1,1,1
attic_61,kitchen_25,0,1
abbey_11,library_indoor_1,0,1
aqueduct_4,parking_lot_8,0,1
mansion_62,fairway_83,1,1
mansion_57,picnic_area_7,1,1
forest_broadleaf_12,parking_lot_13,0,1
bedroom_137,driveway_8,1,1
nursery_20,corridor_4,0,1
living_room_249,baseball_field_10,1,1
creek_61,dinette_vehicle_65,0,1
art_gallery_11,hotel_room_108,0,1
manufactured_home_61,lobby_9,0,1
pasture_49,badlands_26,1,1
canal_urban_79,kitchen_140,0,1
hotel_room_54,pavilion_5,1,1
abbey_34,bedroom_206,0,1
lobby_18,highway_234,1,1
canal_natural_58,park_12,1,1
kitchen_8,corridor_22,0,1
creek_8,mountain_snowy_42,1,1
forest_needleleaf_3,kitchen_173,0,1
golf_course_85,canal_natural_56,1,1
youth_hostel_15,living_room_286,1,1
ski_slope_13,lobby_18,0,1
dining_room_50,dining_room_175,1,1
cabin_outdoor_41,field_wild_3,1,1
yard_33,office_3,0,1
forest_broadleaf_20,dining_room_124,0,1
orchard_36,desert_sand_7,1,1
patio_26,beauty_salon_14,0,1
pasture_55,playroom_4,0,1
banquet_hall_5,snowfield_16,1,1
balcony_interior_17,field_cultivated_5,1,1
kitchenette_12,botanical_garden_30,1,1
kitchen_129,badlands_119,1,1
pavilion_25,restaurant_19,0,1
dinette_vehicle_51,viaduct_12,1,1
creek_33,mountain_4,1,1
creek_3,poolroom_home_30,0,1
cottage_garden_66,ballroom_3,0,1
dinette_vehicle_26,patio_28,1,1
watering_hole_13,poolroom_home_22,0,1
living_room_9,wheat_field_23,1,1
kasbah_37,golf_course_71,1,1
badlands_9,creek_25,1,1
canal_urban_30,vineyard_53,1,1
dining_room_164,golf_course_103,1,1
desert_sand_25,airport_terminal_8,0,1
badlands_27,bedroom_30,0,1
youth_hostel_9,snowfield_18,1,1
ice_shelf_3,bathroom_74,0,1
mountain_128,abbey_14,0,1
hayfield_2,corridor_18,0,1
kitchen_113,bathroom_73,0,1
highway_26,highway_175,1,1
locker_room_1,vegetable_garden_6,1,1
creek_30,apartment_building_outdoor_6,0,1
forest_broadleaf_19,dining_room_120,0,1
 botanical_garden_1, waiting_room_1,0,2
highway_138,forest_road_20,1,2
nursery_37,creek_77,1,2
dinette_home_36,islet_15,1,2
hayfield_7,playroom_39,0,2
swimming_pool_indoor_4,bedroom_297,1,2
kitchen_61,amphitheater_1,1,2
forest_broadleaf_16,hayfield_9,0,2
yard_38,bedroom_254,0,2
dinette_home_19,creek_36,1,2
orchard_68,galley_54,0,2
hill_4,creek_14,1,2
pavilion_9,poolroom_home_1,1,2
mansion_50,corridor_29,0,2
kasbah_25,cabin_outdoor_68,0,2
living_room_120,marsh_23,1,2
street_1,badlands_16,1,2
mountain_94,underwater_coral_reef_28,1,2
cabin_outdoor_14,living_room_312,0,2
mansion_27,marsh_15,1,2
banquet_hall_5,fairway_49,1,2
mountain_snowy_60,attic_65,0,2
general_store_outdoor_18,moat_water_20,1,2
waiting_room_24,rainforest_5,1,2
picnic_area_16,golf_course_6,1,2
bayou_21,orchard_32,1,2
playground_93,utility_room_2,0,2
creek_75,office_building_14,0,2
vineyard_12,hotel_room_27,0,2
forest_broadleaf_3,dining_room_121,0,2
valley_15,vegetable_garden_25,0,2
vineyard_71,beach_5,1,2
badlands_96,railroad_track_4,0,2
palace_13,living_room_126,1,2
beach_59,boardwalk_25,0,2
kasbah_3,field_cultivated_37,1,2
waiting_room_44,watering_hole_12,1,2
living_room_32,marsh_18,1,2
kitchen_173,river_35,1,2
bayou_32,bathroom_94,0,2
dinette_vehicle_1,living_room_150,1,2
kitchenette_11,bathroom_126,1,2
river_6,mountain_44,1,2
ski_slope_20,valley_16,1,2
ice_floe_21,dinette_vehicle_12,0,2
creek_31,bathroom_87,0,2
botanical_garden_5,beauty_salon_51,0,2
playroom_28,playground_66,1,2
dinette_vehicle_49,mountain_151,1,2
snowfield_19,islet_17,0,2
highway_2,kitchen_126,1,2
wheat_field_33,restaurant_25,0,2
vegetable_garden_35,tree_house_5,0,2
canal_urban_47,dining_room_124,1,2
recreation_room_17,cabin_outdoor_21,1,2
bedroom_194,parking_lot_29,1,2
ski_slope_30,butte_2,1,2
utility_room_6,banquet_hall_17,1,2
beach_9,swimming_pool_indoor_8,0,2
dining_room_124,forest_broadleaf_1,1,2
poolroom_establishment_11,kitchen_240,1,2
badlands_88,dinette_home_29,0,2
ice_floe_22,living_room_128,0,2
field_wild_22,theater_indoor_procenium_1,0,2
manufactured_home_70,dinette_vehicle_42,0,2
butte_2,ice_shelf_19,0,2
living_room_186,living_room_197,1,2
canal_urban_51,marsh_21,1,2
living_room_274,canal_urban_17,1,2
badlands_37,aqueduct_39,0,2
pasture_82,golf_course_115,1,2
poolroom_home_58,ballroom_7,1,2
kitchen_134,watering_hole_23,1,2
botanical_garden_19,living_room_122,0,2
cabin_outdoor_5,bedroom_280,1,2
moat_water_32,bathroom_3,0,2
mountain_74,airport_terminal_2,0,2
berth_7,dining_room_84,1,2
cubicle_office_5,amphitheater_22,0,2
bistro_indoor_4,berth_6,1,2
wheat_field_26,bedroom_310,0,2
playground_127,watering_hole_24,1,2
orchard_59,hangar_indoor_1,0,2
dining_room_111,waiting_room_55,1,2
pond_48,bedroom_88,0,2
fairway_40,beach_29,0,2
recreation_room_7,kitchen_79,1,2
lake_natural_7,playroom_13,0,2
yard_32,park_3,0,2
dining_room_127,forest_broadleaf_9,1,2
canal_urban_76,mountain_122,1,2
watering_hole_4,highway_106,0,2
vineyard_55,mansion_9,0,2
parking_lot_23,street_28,1,2
mountain_94,desert_sand_34,0,2
bedroom_62,waiting_room_5,1,2
mountain_140,hotel_room_65,0,2
galley_44,bedroom_180,1,2
orchard_35,living_room_59,1,2
dinette_vehicle_8,street_5,1,2
wheat_field_27,living_room_172,0,2
wet_bar_1,field_wild_10,1,2
bedroom_191,galley_9,0,2
bathroom_99,balcony_interior_35,1,2
recreation_room_8,orchard_68,1,2
vineyard_33,home_office_15,0,2
waiting_room_19,home_office_20,1,2
kitchen_142,swimming_pool_outdoor_27,1,2
highway_1,airport_terminal_13,0,2
bedroom_274,restaurant_24,1,2
pasture_43,butte_20,0,2
fairway_24,kitchen_182,0,2
harbor_5,canal_urban_85,1,2
badlands_85,swimming_pool_outdoor_62,0,2
general_store_outdoor_2,bedroom_306,0,2
highway_89,amphitheater_30,0,2
forest_path_27,recreation_room_18,0,2
bedroom_350,badlands_86,1,2
pond_38,watering_hole_8,0,2
dining_room_111,forest_needleleaf_14,1,2
field_cultivated_20,aqueduct_29,0,2
living_room_183,bathroom_71,1,2
railroad_track_17,berth_1,1,2
parking_garage_outdoor_9,highway_149,1,2
badlands_37,playground_143,0,2
abbey_43,kasbah_32,1,2
wave_2,lecture_room_25,0,2
picnic_area_19,dining_room_207,0,2
restaurant_32,bedroom_89,1,2
poolroom_home_13,youth_hostel_4,1,2
reception_12,golf_course_27,1,2
boardwalk_10,dinette_home_2,0,2
boardwalk_25,kitchen_36,0,2
ice_shelf_6,corridor_24,0,2
forest_path_46,hotel_room_118,0,2
residential_neighborhood_5,highway_205,0,2
art_gallery_3,valley_7,1,2
parlor_17,putting_green_17,1,2
vineyard_78,bedroom_190,0,2
kitchen_16,creek_48,1,2
attic_62,dining_room_110,1,2
attic_44,kitchen_238,1,2
bedroom_154,beach_40,1,2
golf_course_98,highway_177,0,2
living_room_226,pasture_135,1,2
rainforest_19,dinette_vehicle_66,0,2
pavilion_1,field_wild_19,1,2
canal_natural_35,patio_6,0,2
dining_room_100,picnic_area_17,0,2
forest_broadleaf_13,dining_room_105,0,2
corridor_9,kasbah_14,1,2
corridor_28,living_room_263,0,2
cottage_garden_16,playground_28,1,2
mountain_42,highway_80,0,2
parlor_3,airport_terminal_2,0,2
mansion_21,veranda_11,0,2
picnic_area_17,art_gallery_3,0,2
poolroom_home_49,valley_20,1,2
canal_urban_28,field_cultivated_22,1,2
beach_26,ice_floe_23,1,2
ice_shelf_1,river_38,0,2
forest_broadleaf_5,living_room_127,0,2
poolroom_home_46,beach_49,1,2
galley_5,forest_road_27,1,2
fairway_16,creek_65,1,2
sandbar_2,swimming_pool_outdoor_68,0,2
playground_96,apartment_building_outdoor_46,0,2
vineyard_5,beach_60,1,2
kitchen_139,bathroom_9,1,2
ice_shelf_1,galley_37,0,2
apartment_building_outdoor_12,waiting_room_31,1,2
canal_natural_5,kitchen_139,0,2
bayou_33,golf_course_84,1,2
desert_vegetation_10,living_room_97,0,2
waterfall_plunge_8,highway_123,0,2
movie_theater_indoor_5,ski_slope_9,1,2
underwater_coral_reef_14,waterfall_block_2,0,2
hayfield_23,playground_136,1,2
barn_17,swimming_pool_outdoor_60,1,2
forest_broadleaf_24,dining_room_116,0,2
canal_urban_15,athletic_field_outdoor_1,1,2
dining_room_40,ballroom_13,0,2
fairway_37,general_store_outdoor_42,0,2
living_room_159,manufactured_home_38,0,2
bathroom_29,dining_room_141,1,2
snowfield_14,home_office_11,0,2
recreation_room_9,living_room_110,1,2
dinette_home_26,ice_shelf_14,1,2
wet_bar_5,general_store_outdoor_2,1,2
pond_31,dining_room_81,0,2
abbey_31,mountain_19,0,2
pasture_60,balcony_interior_34,0,2
home_office_56,pasture_56,1,2
gift_shop_3,kitchen_106,1,2
corridor_28,cottage_garden_36,1,2
courtroom_8,creek_54,1,2
golf_course_45,golf_course_42,0,2
manufactured_home_4,living_room_243,1,2
bathroom_16,cabin_outdoor_10,1,2
restaurant_21,abbey_41,1,2
islet_9,berth_13,0,2
mountain_24,highway_160,0,2
amphitheater_26,apartment_building_outdoor_38,1,2
palace_9,cabin_outdoor_18,1,2
banquet_hall_8,cabin_outdoor_62,0,2
mountain_97,snowfield_27,0,2
gift_shop_30,lake_natural_78,1,2
pasture_17,canal_urban_6,1,2
highway_175,living_room_229,0,2
dining_room_108,forest_broadleaf_5,1,2
dining_room_80,mountain_snowy_82,1,2
swimming_pool_outdoor_49,marsh_30,1,2
kasbah_2,snowfield_25,1,2
kitchen_244,palace_5,1,2
assembly_line_2,desert_sand_12,1,2
restaurant_19,parlor_27,0,2
playground_7,beach_35,1,2
balcony_interior_22,playground_138,0,2
highway_160,field_wild_23,0,2
kitchen_169,highway_105,1,2
playroom_16,vineyard_10,0,2
kitchenette_13,mansion_73,1,2
boardwalk_29,badlands_62,1,2
hayfield_17,playground_95,0,2
restaurant_18,bedroom_58,0,2
rainforest_9,hotel_room_119,0,2
creek_33,highway_151,0,2
underwater_coral_reef_22,aqueduct_69,0,2
subway_interior_1,amphitheater_32,1,2
art_gallery_15,bedroom_258,0,2
ballroom_12,swimming_pool_outdoor_11,0,2
parlor_18,living_room_223,1,2
harbor_13,palace_23,1,2
pasture_80,beach_67,0,2
badlands_134,creek_65,0,2
home_office_39,bus_interior_4,0,2
kitchen_183,vegetable_garden_48,1,2
kitchen_181,bedroom_147,0,2
ice_floe_4,highway_18,0,2
dining_room_126,forest_broadleaf_2,1,2
forest_broadleaf_2,cafeteria_11,0,2
golf_course_37,playground_1,0,2
youth_hostel_6,playground_113,0,2
hotel_room_64,sandbar_4,1,2
cabin_outdoor_41,bathroom_5,0,2
aqueduct_2,fairway_49,1,2
dinette_vehicle_2,fairway_7,1,2
river_39,mountain_64,1,2
railroad_track_9,sea_cliff_4,1,2
manufactured_home_4,snowfield_14,1,2
living_room_1,orchard_31,1,2
waterfall_block_11,watering_hole_12,1,2
attic_51,pasture_123,1,2
general_store_outdoor_2,dinette_vehicle_26,1,2
canal_natural_4,balcony_interior_7,0,2
bathroom_63,barn_36,1,2
attic_44,bedroom_50,1,2
balcony_interior_5,pasture_145,1,2
desert_vegetation_20,living_room_34,0,2
badlands_31,badlands_19,0,2
mountain_55,kitchen_84,0,2
dining_room_198,hayfield_17,1,2
highway_102,highway_120,1,2
wet_bar_21,field_cultivated_1,1,2
lake_natural_38,balcony_interior_41,0,2
nursery_25,sandbar_34,1,2
palace_18,banquet_hall_2,1,2
mountain_snowy_7,marsh_13,1,2
athletic_field_outdoor_7,manufactured_home_22,0,2
dining_room_106,forest_broadleaf_4,1,2
playground_8,lake_natural_80,1,2
mountain_108,hayfield_2,0,2
youth_hostel_4,pond_40,1,2
playground_70,vegetable_garden_35,1,2
fairway_40,archive_2,0,2
hotel_room_71,waterfall_plunge_1,1,2
orchard_9,kitchenette_7,0,2
botanical_garden_25,balcony_interior_7,0,2
underwater_coral_reef_5,beach_6,0,2
bedroom_31,kitchen_48,1,2
vegetable_garden_36,kitchen_30,1,2
street_2,attic_81,1,2
river_11,viaduct_2,0,2
viaduct_9,apartment_building_outdoor_25,0,2
hotel_room_49,driveway_31,1,2
cubicle_office_30,movie_theater_indoor_7,1,2
amphitheater_18,mansion_57,1,2
reception_11,bedroom_115,1,2
boardwalk_33,bedroom_363,1,2
kitchen_141,cubicle_office_28,0,2
swimming_pool_outdoor_54,poolroom_establishment_11,1,2
hill_6,orchard_31,1,2
manufactured_home_30,nursery_34,1,2
aqueduct_33,mountain_snowy_1,1,2
vegetable_garden_22,highway_126,1,2
kitchen_76,apartment_building_outdoor_57,0,2
street_30,wet_bar_20,1,2
valley_26,apartment_building_outdoor_55,0,2
lake_natural_46,street_11,0,2
forest_broadleaf_17,dining_room_122,0,2
